NAME,Population,Households,Receipt of SNAP,Public Assist,ZIP,city,county,pop
ZCTA5 97524,15174,6002,521,607,97524,Eagle Point,Jackson,14974
ZCTA5 97527,37120,15275,3274,3350,97527,Grants Pass,Josephine,36180
ZCTA5 97530,7806,3451,155,155,97530,Jacksonville,Jackson,6913
ZCTA5 97532,2621,1105,157,180,97532,Merlin,Josephine,2562
ZCTA5 97137,1087,357,14,19,97137,St. Paul,Marion,1385
ZCTA5 97324,1495,632,193,193,97324,Alsea,Benton,1322
ZCTA5 97057,12,6,0,0,97057,Shaniko,Wasco,9
ZCTA5 97208,0,0,0,0,97208,Portland,Multnomah,0
ZCTA5 97369,139,67,8,8,97369,Otter Rock,Lincoln,187
ZCTA5 97373,178,0,0,0,97373,Saint Benedict,Marion,196
ZCTA5 97384,67,34,0,0,97384,Mehama,Marion,0
ZCTA5 97388,1014,460,17,17,97388,Gleneden Beach,Lincoln,790
ZCTA5 97494,51,51,0,0,97494,Wilbur,Douglas,67
ZCTA5 97495,1568,681,65,65,97495,Winchester,Douglas,1673
ZCTA5 97820,985,443,44,49,97820,Canyon City,Grant,899
ZCTA5 97830,660,342,53,53,97830,Fossil,Wheeler,642
ZCTA5 97834,1116,571,150,159,97834,Halfway,Baker,904
ZCTA5 97911,106,60,2,2,97911,Juntura,Malheur,69
ZCTA5 97840,168,48,0,0,97840,Oxbow,Baker,216
ZCTA5 97868,1718,676,110,110,97868,Pilot Rock,Umatilla,1781
ZCTA5 97330,43155,17954,1870,1949,97330,Corvallis,Benton,42956
ZCTA5 97342,80,49,5,5,97342,Detroit,Marion,89
ZCTA5 97345,549,192,55,55,97345,Foster,Linn,731
ZCTA5 97352,6860,2037,363,367,97352,Jefferson,Marion,6518
ZCTA5 97361,12528,3985,844,923,97361,Monmouth,Polk,12297
ZCTA5 97365,11338,4766,1066,1103,97365,Newport,Lincoln,11348
ZCTA5 97386,15584,5878,1517,1581,97386,Sweet Home,Linn,14693
ZCTA5 97401,47985,21770,3260,3385,97401,Eugene,Lane,45830
ZCTA5 97402,52481,21782,5365,5520,97402,Eugene,Lane,52310
ZCTA5 97417,2249,1093,316,327,97417,Canyonville,Douglas,2407
ZCTA5 97419,892,385,74,74,97419,Cheshire,Lane,1074
ZCTA5 97437,2489,928,163,163,97437,Elmira,Lane,2939
ZCTA5 97438,1127,424,69,69,97438,Fall Creek,Lane,1084
ZCTA5 97223,51513,20246,1663,2153,97223,Portland,Washington,50585
ZCTA5 97224,35949,14893,1149,1253,97224,Portland,Washington,35434
ZCTA5 97302,40113,17021,2355,2548,97302,Salem,Marion,38706
ZCTA5 97346,1087,393,72,72,97346,Gates,Marion,988
ZCTA5 97355,31118,12014,2323,2393,97355,Lebanon,Linn,30364
ZCTA5 97374,4394,1817,120,148,97374,Scio,Linn,4521
ZCTA5 97381,16420,5739,700,831,97381,Silverton,Marion,16158
ZCTA5 97412,681,230,36,36,97412,Blachly,Lane,518
ZCTA5 97431,2289,745,218,218,97431,Dexter,Lane,2341
ZCTA5 97436,740,338,60,60,97436,Elkton,Douglas,698
ZCTA5 97455,3184,991,78,90,97455,Pleasant Hill,Lane,3175
ZCTA5 97463,3801,1658,646,659,97463,Oakridge,Lane,3899
ZCTA5 97473,293,143,6,16,97473,Scottsburg,Douglas,254
ZCTA5 97536,1151,511,118,121,97536,Prospect,Jackson,1031
ZCTA5 97540,8554,3886,792,802,97540,Talent,Jackson,8484
