NAME,Population,Households,Receipt of SNAP,state,ZIP,Percent SNAP
ZCTA5 97873,295,144,6,41,97873,4.1667
ZCTA5 97876,960,359,41,41,97876,11.4206
ZCTA5 97880,338,126,15,41,97880,11.9048
ZCTA5 97886,1256,419,55,41,97886,13.1265
ZCTA5 97901,710,286,50,41,97901,17.4825
ZCTA5 97903,51,25,0,41,97903,0.0
ZCTA5 97420,27926,11631,2916,41,97420,25.0709
ZCTA5 97040,1623,592,23,41,97040,3.8851
ZCTA5 97132,29732,10351,1102,41,97132,10.6463
ZCTA5 97232,13706,7236,605,41,97232,8.361
ZCTA5 97033,50,35,0,41,97033,0.0
ZCTA5 97333,23302,9497,1045,41,97333,11.0035
ZCTA5 97377,967,316,0,41,97377,0.0
ZCTA5 97423,6670,2927,718,41,97423,24.5302
ZCTA5 97837,60,38,0,41,97837,0.0
ZCTA5 97856,358,206,19,41,97856,9.2233
ZCTA5 97205,7462,5069,1284,41,97205,25.3304
ZCTA5 97301,56196,18558,5494,41,97301,29.6045
ZCTA5 97375,1477,441,40,41,97375,9.0703
ZCTA5 97429,746,301,73,41,97429,24.2525
ZCTA5 97467,5014,2217,492,41,97467,22.1922
ZCTA5 97541,1559,628,133,41,97541,21.1783
ZCTA5 97828,3162,1451,266,41,97828,18.3322
ZCTA5 97016,6224,2539,517,41,97016,20.3623
ZCTA5 97267,33636,13426,1602,41,97267,11.9321
ZCTA5 97461,834,269,42,41,97461,15.6134
ZCTA5 97884,129,71,4,41,97884,5.6338
ZCTA5 97449,2170,1172,208,41,97449,17.7474
ZCTA5 97501,45993,17855,5039,41,97501,28.2218
ZCTA5 97531,578,270,40,41,97531,14.8148
ZCTA5 97627,638,266,51,41,97627,19.1729
ZCTA5 97758,89,41,7,41,97758,17.0732
ZCTA5 97063,900,460,64,41,97063,13.913
ZCTA5 97009,8603,2908,305,41,97009,10.4883
ZCTA5 97014,1388,585,109,41,97014,18.6325
ZCTA5 97030,38358,14800,3446,41,97030,23.2838
ZCTA5 97039,552,239,32,41,97039,13.3891
