NAME,Population,Households,Receipt of SNAP,Public Assist,ZIP,geometry,Percent SNAP,Percent Public Assist,city,county,pop
ZCTA5 97388,1014,460,17,17,97388,,3.6957,3.6957,Gleneden Beach,Lincoln,790
ZCTA5 97494,51,51,0,0,97494,,0.0,0.0,Wilbur,Douglas,67
ZCTA5 97495,1568,681,65,65,97495,,9.5448,9.5448,Winchester,Douglas,1673
ZCTA5 97820,985,443,44,49,97820,,9.9323,11.0609,Canyon City,Grant,899
ZCTA5 97830,660,342,53,53,97830,,15.4971,15.4971,Fossil,Wheeler,642
ZCTA5 97834,1116,571,150,159,97834,,26.2697,27.8459,Halfway,Baker,904
ZCTA5 97911,106,60,2,2,97911,,3.3333,3.3333,Juntura,Malheur,69
ZCTA5 97840,168,48,0,0,97840,,0.0,0.0,Oxbow,Baker,216
ZCTA5 97868,1718,676,110,110,97868,,16.2722,16.2722,Pilot Rock,Umatilla,1781
ZCTA5 97330,43155,17954,1870,1949,97330,,10.4155,10.8555,Corvallis,Benton,42956
ZCTA5 97342,80,49,5,5,97342,,10.2041,10.2041,Detroit,Marion,89
ZCTA5 97345,549,192,55,55,97345,,28.6458,28.6458,Foster,Linn,731
ZCTA5 97352,6860,2037,363,367,97352,,17.8203,18.0167,Jefferson,Marion,6518
ZCTA5 97361,12528,3985,844,923,97361,,21.1794,23.1619,Monmouth,Polk,12297
ZCTA5 97365,11338,4766,1066,1103,97365,,22.3668,23.1431,Newport,Lincoln,11348
ZCTA5 97386,15584,5878,1517,1581,97386,,25.8081,26.8969,Sweet Home,Linn,14693
ZCTA5 97401,47985,21770,3260,3385,97401,,14.9747,15.5489,Eugene,Lane,45830
ZCTA5 97402,52481,21782,5365,5520,97402,,24.6304,25.342,Eugene,Lane,52310
ZCTA5 97417,2249,1093,316,327,97417,,28.9113,29.9177,Canyonville,Douglas,2407
ZCTA5 97419,892,385,74,74,97419,,19.2208,19.2208,Cheshire,Lane,1074
ZCTA5 97437,2489,928,163,163,97437,,17.5647,17.5647,Elmira,Lane,2939
ZCTA5 97438,1127,424,69,69,97438,,16.2736,16.2736,Fall Creek,Lane,1084
ZCTA5 97223,51513,20246,1663,2153,97223,,8.214,10.6342,Portland,Washington,50585
ZCTA5 97224,35949,14893,1149,1253,97224,,7.715,8.4133,Portland,Washington,35434
ZCTA5 97302,40113,17021,2355,2548,97302,,13.8358,14.9697,Salem,Marion,38706
ZCTA5 97346,1087,393,72,72,97346,,18.3206,18.3206,Gates,Marion,988
ZCTA5 97355,31118,12014,2323,2393,97355,,19.3358,19.9184,Lebanon,Linn,30364
ZCTA5 97374,4394,1817,120,148,97374,,6.6043,8.1453,Scio,Linn,4521
ZCTA5 97381,16420,5739,700,831,97381,,12.1972,14.4799,Silverton,Marion,16158
ZCTA5 97412,681,230,36,36,97412,,15.6522,15.6522,Blachly,Lane,518
ZCTA5 97431,2289,745,218,218,97431,,29.2617,29.2617,Dexter,Lane,2341
ZCTA5 97436,740,338,60,60,97436,,17.7515,17.7515,Elkton,Douglas,698
ZCTA5 97455,3184,991,78,90,97455,,7.8708,9.0817,Pleasant Hill,Lane,3175
ZCTA5 97463,3801,1658,646,659,97463,,38.9626,39.7467,Oakridge,Lane,3899
ZCTA5 97473,293,143,6,16,97473,,4.1958,11.1888,Scottsburg,Douglas,254
ZCTA5 97536,1151,511,118,121,97536,,23.092,23.6791,Prospect,Jackson,1031
ZCTA5 97540,8554,3886,792,802,97540,,20.3809,20.6382,Talent,Jackson,8484
ZCTA5 97601,23020,10107,2654,2750,97601,,26.259,27.2089,Klamath Falls,Klamath,22726
ZCTA5 97818,4352,1433,272,280,97818,,18.9812,19.5394,Boardman,Morrow,4244
ZCTA5 97639,479,177,85,101,97639,,48.0226,57.0621,Sprague River,Klamath,659
ZCTA5 97712,65,20,0,0,97712,,0.0,0.0,Brothers,Deschutes,86
ZCTA5 97753,2594,1021,111,148,97753,,10.8717,14.4956,Powell Butte,Crook,2570
ZCTA5 97869,944,448,79,85,97869,,17.6339,18.9732,Prairie City,Grant,930
ZCTA5 97877,334,203,36,36,97877,,17.734,17.734,Sumpter,Baker,282
ZCTA5 97870,644,318,13,13,97870,,4.0881,4.0881,Richland,Baker,798
ZCTA5 97828,3135,1429,198,203,97828,,13.8558,14.2057,Enterprise,Wallowa,3162
ZCTA5 97016,6329,2615,442,450,97016,,16.9025,17.2084,Clatskanie,Columbia,6224
ZCTA5 97267,33250,13886,1520,1566,97267,,10.9463,11.2775,Portland,Clackamas,33636
ZCTA5 97461,823,372,73,73,97461,,19.6237,19.6237,Noti,Lane,834
ZCTA5 97884,103,62,4,5,97884,,6.4516,8.0645,Unity,Baker,129
ZCTA5 97449,1955,1004,144,144,97449,,14.3426,14.3426,Lakeside,Coos,2170
ZCTA5 97501,47160,18685,4909,4918,97501,,26.2724,26.3206,Medford,Jackson,45993
ZCTA5 97531,307,134,0,0,97531,,0.0,0.0,Kerby,Josephine,578
ZCTA5 97627,558,206,7,7,97627,,3.3981,3.3981,Keno,Klamath,638
ZCTA5 97758,76,32,8,8,97758,,25.0,25.0,Riley,Harney,89
ZCTA5 97063,727,374,47,59,97063,,12.5668,15.7754,Tygh Valley,Wasco,900
ZCTA5 97024,10014,4565,664,705,97024,,14.5455,15.4436,Fairview,Multnomah,10344
ZCTA5 97028,162,127,0,0,97028,,0.0,0.0,Government Camp,Clackamas,192
ZCTA5 97041,3084,882,166,166,97041,,18.8209,18.8209,Mount Hood Parkdale,Hood River,2979
ZCTA5 97060,22133,6933,853,938,97060,,12.3035,13.5295,Troutdale,Multnomah,22471
ZCTA5 97111,3441,1222,102,102,97111,,8.347,8.347,Carlton,Yamhill,3572
ZCTA5 97119,5309,1749,185,204,97119,,10.5775,11.6638,Gaston,Washington,4527
ZCTA5 97145,298,186,0,0,97145,,0.0,0.0,Tolovana Park,Clatsop,352
ZCTA5 97203,34759,12805,2162,2340,97203,,16.884,18.2741,Portland,Multnomah,34890
ZCTA5 97206,54248,21211,2858,3270,97206,,13.4741,15.4165,Portland,Multnomah,52996
ZCTA5 97209,19824,13633,1930,2176,97209,,14.1568,15.9613,Portland,Multnomah,18982
ZCTA5 97211,35738,14336,1709,1803,97211,,11.921,12.5767,Portland,Multnomah,35429
ZCTA5 97214,28348,14052,1312,1493,97214,,9.3367,10.6248,Portland,Multnomah,26853
ZCTA5 97231,3975,1675,99,109,97231,,5.9104,6.5075,Portland,Multnomah,3957
ZCTA5 97304,32435,12593,1493,1604,97304,,11.8558,12.7372,Salem,Polk,31863
ZCTA5 97306,32741,12387,1211,1399,97306,,9.7764,11.2941,Salem,Marion,32416
ZCTA5 97357,194,120,0,0,97357,,0.0,0.0,Logsden,Lincoln,174
ZCTA5 97366,1980,880,107,128,97366,,12.1591,14.5455,South Beach,Lincoln,1772
